gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2848560196	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC545335-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2848560195	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/VXZDHTKCBO/XC545317-Willow%20Warbler%20Bawsey%2012.4.20.mp3			152 s				Stuart Fisher			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stuart Fisher
2848560195	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/VXZDHTKCBO/wave/XC545317-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2848560195	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/XC545317-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2848560182	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC545074-MIXPRE-1965.mp3			134 s				david m			http://creativecommons.org/licenses/by-nc-nd/4.0/	david m
2848560182	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC545074-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2848560182	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC545074-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2848560181	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC545056-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2848560181	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC545056-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2848560181	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC545056-MIXPRE-1959.mp3			151 s				david m			http://creativecommons.org/licenses/by-nc-nd/4.0/	david m
2848560161	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/wave/XC544642-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2848560161	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/ffts/XC544642-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
2848560161	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/XC544642-Willow%20Warbler%20singing%20very%20good%202020%2004%2012%20Garden%2C%20Chafford%20Hundred_1947.mp3			60 s				David Darrell-Lambert			http://creativecommons.org/licenses/by-nc-sa/4.0/	David Darrell-Lambert
2848560145	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC544345-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
