gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3722784557	Sound	audio/mpeg	https://observation.org/sounds/150849.mp3							PJ van Beelen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Py van Beelen
3722784557	StillImage	image/jpeg	https://observation.org/photos/45137513.jpg							Py van Beelen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Py van Beelen
3722784557	StillImage	image/jpeg	https://observation.org/photos/45137537.jpg							Py van Beelen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Py van Beelen
3722784557	StillImage	image/jpeg	https://observation.org/photos/45137510.jpg							Py van Beelen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Py van Beelen
3722784557	StillImage	image/jpeg	https://observation.org/photos/45137538.jpg							Py van Beelen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Py van Beelen
3722784557	StillImage	image/jpeg	https://observation.org/photos/45137511.jpg							Py van Beelen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Py van Beelen
3722784557	StillImage	image/jpeg	https://observation.org/photos/45137539.jpg							Py van Beelen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Py van Beelen
3722763017	Sound	audio/vnd.wave	https://observation.org/sounds/151815.wav							Joas de vreugd			http://creativecommons.org/licenses/by-nc-nd/4.0/	Joas de vreugd
3722763017	StillImage	image/jpeg	https://observation.org/photos/45480391.jpg							Joas de vreugd			http://creativecommons.org/licenses/by-nc-nd/4.0/	Joas de vreugd
3722763017	StillImage	image/jpeg	https://observation.org/photos/45480392.jpg							Joas de vreugd			http://creativecommons.org/licenses/by-nc-nd/4.0/	Joas de vreugd
3722763017	StillImage	image/jpeg	https://observation.org/photos/45480393.jpg							Joas de vreugd			http://creativecommons.org/licenses/by-nc-nd/4.0/	Joas de vreugd
3722751224	Sound	audio/vnd.wave	https://observation.org/sounds/149014.wav							Vincent Martens			http://creativecommons.org/licenses/by-nc-nd/4.0/	Vincent Martens
3722731985	Sound	audio/mpeg	https://observation.org/sounds/150171.mp3							guus van duin			http://creativecommons.org/licenses/by-nc-nd/4.0/	guus van duin
3722731985	StillImage	image/jpeg	https://observation.org/photos/44869455.jpg							guus van duin			http://creativecommons.org/licenses/by-nc-nd/4.0/	guus van duin
3722731985	StillImage	image/jpeg	https://observation.org/photos/44869537.jpg							guus van duin			http://creativecommons.org/licenses/by-nc-nd/4.0/	guus van duin
3722731985	StillImage	image/jpeg	https://observation.org/photos/44869499.jpg							guus van duin			http://creativecommons.org/licenses/by-nc-nd/4.0/	guus van duin
3722731168	StillImage	image/jpeg	https://observation.org/photos/43343831.jpg							Lisette Cuperus			http://creativecommons.org/licenses/by-nc-nd/4.0/	Lisette Cuperus
3722731168	Sound	audio/mpeg	https://observation.org/sounds/146211.mp3							Lisette Cuperus			http://creativecommons.org/licenses/by-nc-nd/4.0/	Lisette Cuperus
3722724924	Sound	audio/mpeg	https://observation.org/sounds/149932.mp3							Jasper Jansen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jasper Jansen
3722609515	Sound	audio/mpeg	https://observation.org/sounds/147299.mp3							Justin Jansen			http://creativecommons.org/licenses/by/4.0/	Justin Jansen
3722589192	StillImage	image/jpeg	https://observation.org/photos/42310436.jpg							Herman Vermeulen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Herman Vermeulen
3722589192	Sound	audio/vnd.wave	https://observation.org/sounds/144286.wav							Herman Vermeulen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Herman Vermeulen
3722572212	Sound	audio/mpeg	https://observation.org/sounds/146275.mp3							geert custers			http://creativecommons.org/licenses/by-nc-sa/4.0/	geert custers
3722466703	Sound	audio/vnd.wave	https://observation.org/sounds/143904.wav							Astrid Kappers			http://creativecommons.org/licenses/by-nc-nd/4.0/	Astrid Kappers
3722427737	Sound	audio/mpeg	https://observation.org/sounds/145294.mp3							Gijs van der Voet			http://creativecommons.org/licenses/by-nc-nd/4.0/	Gijs van der Voet
3722417085	Sound	audio/mpeg	https://observation.org/sounds/150530.mp3							Paul Schrijvershof			http://creativecommons.org/licenses/by-nc/4.0/	Paul Schrijvershof
3722383754	Sound	audio/mpeg	https://observation.org/sounds/139462.mp3							Jauke Sies			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jauke Sies
